spotify_id,name,artists,country,popularity,danceability,energy,loudness,acousticness,instrumentalness,valence,tempo,mood
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",worldwide,100,0.521,0.592,-7.777,0.308,0.0,0.535,157.969,neutral
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",worldwide,89,0.777,0.783,-4.477,0.0283,0.0,0.939,149.027,happy
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,worldwide,96,0.554,0.808,-4.169,0.214,0.0,0.372,108.548,neutral
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,worldwide,97,0.747,0.507,-10.171,0.2,0.0608,0.438,104.978,neutral
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,worldwide,90,0.66,0.756,-3.743,0.00289,0.0,0.838,116.034,happy
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,worldwide,89,0.699,0.776,-5.282,0.131,5.36e-06,0.708,103.963,happy
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",worldwide,86,0.707,0.575,-7.546,0.251,0.0,0.576,138.008,neutral
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,worldwide,93,0.494,0.413,-10.432,0.682,6.72e-05,0.273,94.938,neutral
1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",worldwide,92,0.769,0.722,-5.485,0.0584,2.56e-06,0.57,119.973,energetic
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,worldwide,81,0.798,0.562,-5.913,0.11,0.00606,0.647,110.991,love/romance
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,worldwide,93,0.7,0.582,-5.96,0.0502,0.0,0.785,116.712,love/romance
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,worldwide,93,0.467,0.247,-12.002,0.612,0.000271,0.126,148.101,sad
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,worldwide,91,0.674,0.907,-4.086,0.101,0.0,0.721,112.964,happy
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,worldwide,92,0.924,0.668,-6.795,0.446,0.000594,0.787,128.027,happy
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,worldwide,89,0.561,0.604,-4.409,0.199,1.9e-05,0.242,159.92,neutral
3U3hFkMr0Q90pD24EkE3Pr,BMF,SZA,worldwide,84,0.792,0.55,-8.528,0.506,0.0166,0.972,128.023,neutral
0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",worldwide,89,0.833,0.563,-5.593,0.528,1.27e-05,0.343,105.008,neutral
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",worldwide,90,0.264,0.64,-6.221,0.0393,2.31e-06,0.19,84.828,neutral
2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,Sabrina Carpenter,worldwide,87,0.675,0.586,-6.086,0.257,0.0,0.621,107.015,love/romance
0LTwdL5yZ6YOTEGUQPFuSN,ROSONES,Tito Double P,worldwide,88,0.802,0.726,-5.939,0.704,9.7e-06,0.604,120.129,energetic
1cOboCuWYI2osTOfolMRS6,Tu Boda,"Oscar Maydon, Fuerza Regida",worldwide,91,0.694,0.651,-6.968,0.496,1.36e-05,0.471,112.648,neutral
0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",worldwide,91,0.855,0.529,-6.679,0.0837,0.0,0.548,100.036,neutral
6jbYpRPTEFl1HFKHk1IC0m,Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",worldwide,89,0.392,0.555,-6.707,0.287,0.000253,0.191,96.063,neutral
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,worldwide,89,0.612,0.807,-2.81,0.0495,0.0177,0.398,124.053,energetic
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,worldwide,88,0.472,0.471,-5.692,0.151,0.0,0.219,105.029,neutral
3be9ACTxtcL6Zm4vJRUiPG,blue,yung kai,worldwide,87,0.746,0.317,-11.982,0.933,0.0186,0.585,97.49,calm
1YYfyJ2yCvGFCxwjsIqEK9,Khé?,"Rauw Alejandro, Romeo Santos",worldwide,88,0.687,0.627,-4.975,0.326,0.0,0.47,155.865,neutral
76JKIsdKrAfWUMjaA0u7v5,Too Sweet,Hozier,worldwide,79,0.741,0.62,-5.505,0.0295,0.000809,0.934,117.038,happy
3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",worldwide,89,0.505,0.812,-3.986,0.285,0.0,0.664,80.09,neutral
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,worldwide,89,0.726,0.698,-4.165,0.049,0.0,0.867,143.994,happy
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,worldwide,90,0.464,0.417,-9.345,0.136,0.022,0.479,67.528,neutral
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,worldwide,83,0.722,0.706,-4.857,0.072,0.0,0.599,80.969,energetic
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,worldwide,85,0.486,0.617,-7.115,0.0954,3.23e-06,0.417,138.015,neutral
7sd6zMrgGpEa7NkQm9TRrg,NADIE,Tito Double P,worldwide,88,0.702,0.843,-4.71,0.465,0.0,0.526,92.604,energetic
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,worldwide,88,0.82,0.452,-9.796,0.543,0.00294,0.74,117.401,neutral
7G7mSV4BebkoHWwKTDvXu9,Winter Ahead (with PARK HYO SHIN),"V, Park Hyo Shin",worldwide,88,0.36,0.316,-9.954,0.858,0.000212,0.229,76.844,sad
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,worldwide,87,0.645,0.646,-8.334,0.0615,3.04e-05,0.295,115.842,neutral
63EQbNhgaih4yg5412usWG,Loco,Neton Vega,worldwide,79,0.849,0.708,-5.502,0.0741,0.00768,0.632,91.981,energetic
0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,Lord Huron,worldwide,77,0.545,0.366,-9.51,0.969,0.267,0.1,86.997,sad
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",worldwide,89,0.558,0.559,-9.222,0.371,7.49e-06,0.62,78.558,love/romance
7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,Bruno Mars,worldwide,86,0.635,0.841,-5.379,0.0134,0.0,0.424,109.021,energetic
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",Gracie Abrams,worldwide,89,0.53,0.406,-7.507,0.656,0.0,0.338,115.94,neutral
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,worldwide,89,0.429,0.661,-7.227,0.00239,0.000121,0.285,173.372,neutral
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,worldwide,89,0.689,0.454,-7.643,0.0351,0.00259,0.912,159.982,love/romance
2LwsunYgfRoqyIsNtgOCQx,Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",worldwide,86,0.678,0.604,-7.926,0.00465,0.000936,0.374,88.0,neutral
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,worldwide,89,0.853,0.56,-4.961,0.013,0.0,0.86,134.066,love/romance
0qeIFEGRQqHoaJtLCl0U73,DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",worldwide,88,0.744,0.709,-5.778,0.0501,0.0,0.712,194.055,happy
3M0lSi5WW79CXQamgSBIjx,Swim,Chase Atlantic,worldwide,86,0.666,0.542,-6.429,0.27,0.0,0.0771,120.134,neutral
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,worldwide,86,0.644,0.735,-5.747,0.0521,0.144,0.418,88.98,energetic
0BUkQGUXgcvf3gdCWYbtnJ,Oh Garota Eu Quero Você Só Pra Mim,"Oruam, Zé Felipe, MC Tuto, Dj Lc da Roça, MC K9, Mc Rodrigo do CN, mc pl alves",worldwide,82,0.905,0.861,-2.313,0.0361,1.3e-05,0.727,137.195,happy
3MJ6lFNV12FSHAOzTzkwxz,Smile,Morgan Wallen,US,75,0.502,0.223,-11.285,0.943,3.78e-06,0.396,126.31,calm
0nj9Bq5sHDiTxSHunhgkFb,squabble up,Kendrick Lamar,US,90,0.874,0.672,-5.568,0.0206,0.0,0.711,103.921,happy
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",US,84,0.644,0.874,-4.723,0.0113,0.0,0.753,128.017,happy
3E9IzxNXsk7yFfc1SHpiG1,"Dum, Dumb, and Dumber (with Young Thug & Future)","Lil Baby, Young Thug, Future",US,68,0.777,0.727,-5.498,0.00886,0.0,0.253,129.965,energetic
3aSWXU6owkZeVhh94XxEWO,30 For 30 (with Kendrick Lamar),"SZA, Kendrick Lamar",US,83,0.714,0.415,-10.338,0.758,0.000112,0.506,140.059,neutral
0eaVIYo2zeOaGJeqZ5TwYz,No Pole,Don Toliver,US,86,0.328,0.631,-5.169,0.0714,0.0,0.382,85.262,neutral
1k2pQc5i348DCHwbn5KTdc,Pink Pony Club,Chappell Roan,US,85,0.61,0.65,-6.199,0.399,0.0,0.507,106.719,neutral
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,Chappell Roan,US,87,0.742,0.757,-4.981,0.0187,0.0,0.957,139.982,happy
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,US,88,0.898,0.472,-7.001,0.0107,0.0,0.214,101.061,neutral
3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,The Marías,US,85,0.705,0.339,-10.612,0.552,0.0814,0.457,97.989,neutral
5xeSd4HgzrYpNLEf3LfYLK,WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",US,81,0.832,0.684,-4.691,0.00449,0.0,0.68,166.976,love/romance
2E7a96qey4AzSOdK6H21vS,Scorsese Baby Daddy,SZA,US,81,0.746,0.728,-6.75,0.464,2.01e-05,0.795,103.991,happy
